Trial,Bay,Block,Range,Row,Expt_17,Name,Lr 04/12 Mel
Lr '17,A,3,55,6,Filler,Barley,m
Lr '17,A,3,55,7,Control,Yitpi,8
Lr '17,A,3,55,8,CAIGE,2:CWA15,5
Lr '17,A,3,55,9,CAIGE,3:CWA15,X
Lr '17,A,3,55,10,CAIGE,4:CWA15,3
Lr '17,A,3,55,11,CAIGE,5:CWA15,2
Lr '17,A,3,55,12,CAIGE,6:CWA15,4
Lr '17,A,3,55,13,Control,Shield,1
Lr '17,A,3,55,14,CAIGE,7:CWA15,5
Lr '17,A,3,55,15,CAIGE,8:CWA15,2
Lr '17,A,3,55,16,CAIGE,9:CWA15,X
Lr '17,A,3,55,17,CAIGE,10:CWA15,3
Lr '17,A,3,55,18,CAIGE,11:CWA15,X
Lr '17,A,3,55,19,Control,Shield,1
Lr '17,A,3,55,20,CAIGE,12:CWA15,2
Lr '17,A,3,55,21,CAIGE,13:CWA15,X
Lr '17,A,3,55,22,CAIGE,14:CWA15,1
Lr '17,A,3,55,23,CAIGE,15:CWA15,3
Lr '17,A,3,55,24,Control,Phantom,6
Lr '17,A,3,56,1,Control,Impala,8
Lr '17,A,3,56,2,CAIGE,16:CWA15,7
Lr '17,A,3,56,3,CAIGE,17:CWA15,3
Lr '17,A,3,56,4,CAIGE,18:CWA15,4
Lr '17,A,3,56,5,CAIGE,19:CWA15,8
Lr '17,A,3,56,6,CAIGE,20:CWA15,8
Lr '17,A,3,56,7,Control,Shield,1
Lr '17,A,3,56,8,CAIGE,22:CWA15,X
Lr '17,A,3,56,9,CAIGE,23:CWA15,1
Lr '17,A,3,56,10,CAIGE,24:CWA15,2
Lr '17,A,3,56,11,CAIGE,25:CWA15,X
Lr '17,A,3,56,12,CAIGE,26:CWA15,X
Lr '17,A,3,56,13,Control,Shield,1
Lr '17,A,3,56,14,CAIGE,27:CWA15,4
Lr '17,A,3,56,15,CAIGE,28:CWA15,X
Lr '17,A,3,56,16,CAIGE,29:CWA15,6
Lr '17,A,3,56,17,CAIGE,30:CWA15,2
Lr '17,A,3,56,18,CAIGE,32:CWA15,X
Lr '17,A,3,56,19,Control,Shield,1
Lr '17,A,3,56,20,CAIGE,33:CWA15,1
Lr '17,A,3,56,21,CAIGE,35:CWA15,3
Lr '17,A,3,56,22,CAIGE,36:CWA15,X
Lr '17,A,3,56,23,CAIGE,37:CWA15,7
Lr '17,A,3,56,24,Control,Impala,X
Lr '17,A,3,57,1,Control,Yitpi,8
Lr '17,A,3,57,2,CAIGE,38:CWA15,8
Lr '17,A,3,57,3,CAIGE,39:CWA15,5
Lr '17,A,3,57,4,CAIGE,41:CWA15,X
Lr '17,A,3,57,5,CAIGE,43:CWA15,4
Lr '17,A,3,57,6,CAIGE,44:CWA15,1
Lr '17,A,3,57,7,Control,Impala,8
Lr '17,A,3,57,8,CAIGE,45:CWA15,2
Lr '17,A,3,57,9,CAIGE,46:CWA15,1
Lr '17,A,3,57,10,CAIGE,47:CWA15,3
Lr '17,A,3,57,11,CAIGE,48:CWA15,X
Lr '17,A,3,57,12,CAIGE,49:CWA15,2
Lr '17,A,3,57,13,Control,Tincurrin,8
Lr '17,A,3,57,14,CAIGE,50:CWA15,8
Lr '17,A,3,57,15,CAIGE,52:CWA15,6
Lr '17,A,3,57,16,CAIGE,53:CWA15,7
Lr '17,A,3,57,17,CAIGE,54:CWA15,5
Lr '17,A,3,57,18,CAIGE,55:CWA15,6
Lr '17,A,3,57,19,Control,Corack,X
Lr '17,A,3,57,20,CAIGE,56:CWA15,4
Lr '17,A,3,57,21,CAIGE,57:CWA15,2
Lr '17,A,3,57,22,CAIGE,59:CWA15,2
Lr '17,A,3,57,23,CAIGE,62:CWA15,2
Lr '17,A,3,57,24,Control,Phantom,8
Lr '17,A,3,58,1,Control,Kiora,4
Lr '17,A,3,58,2,CAIGE,63:CWA15,X
Lr '17,A,3,58,3,CAIGE,64:CWA15,2
Lr '17,A,3,58,4,CAIGE,65:CWA15,1
Lr '17,A,3,58,5,CAIGE,66:CWA15,2
Lr '17,A,3,58,6,CAIGE,67:CWA15,1
Lr '17,A,3,58,7,Control,Impala,X
Lr '17,A,3,58,8,CAIGE,68:CWA15,1
Lr '17,A,3,58,9,CAIGE,69:CWA15,X
Lr '17,A,3,58,10,CAIGE,70:CWA15,2
Lr '17,A,3,58,11,CAIGE,71:CWA15,2
Lr '17,A,3,58,12,CAIGE,72:CWA15,1
Lr '17,A,3,58,13,Control,Corack,X
Lr '17,A,3,58,14,CAIGE,73:CWA15,2
Lr '17,A,3,58,15,CAIGE,77:CWA15,1
Lr '17,A,3,58,16,CAIGE,79:CWA15,1
Lr '17,A,3,58,17,CAIGE,81:CWA15,X
Lr '17,A,3,58,18,CAIGE,82:CWA15,1
Lr '17,A,3,58,19,Control,Kiora,6
Lr '17,A,3,58,20,CAIGE,84:CWA15,X
Lr '17,A,3,58,21,CAIGE,85:CWA15,1
Lr '17,A,3,58,22,CAIGE,86:CWA15,m
