Trial,Bay,Block,Range,Row,Expt_17,Name,Sr 04/12 mel
Sr '17,A,3,44,1,Control,Beaufort,9
Sr '17,A,3,44,2,CAIGE,2:CWA15,6
Sr '17,A,3,44,3,CAIGE,3:CWA15,2
Sr '17,A,3,44,4,CAIGE,4:CWA15,1
Sr '17,A,3,44,5,CAIGE,5:CWA15,5
Sr '17,A,3,44,6,CAIGE,6:CWA15,2
Sr '17,A,3,44,7,Control,Cosmick,6
Sr '17,A,3,44,8,CAIGE,7:CWA15,7
Sr '17,A,3,44,9,CAIGE,8:CWA15,6
Sr '17,A,3,44,10,CAIGE,9:CWA15,4
Sr '17,A,3,44,11,CAIGE,10:CWA15,5
Sr '17,A,3,44,12,CAIGE,11:CWA15,2
Sr '17,A,3,44,13,Control,Trojan,5
Sr '17,A,3,44,14,CAIGE,12:CWA15,5
Sr '17,A,3,44,15,CAIGE,13:CWA15,4
Sr '17,A,3,44,16,CAIGE,14:CWA15,2
Sr '17,A,3,44,17,CAIGE,15:CWA15,4
Sr '17,A,3,44,18,CAIGE,16:CWA15,5
Sr '17,A,3,44,19,Control,Preston,8
Sr '17,A,3,44,20,CAIGE,17:CWA15,5
Sr '17,A,3,44,21,CAIGE,18:CWA15,6
Sr '17,A,3,44,22,CAIGE,19:CWA15,6
Sr '17,A,3,44,23,CAIGE,20:CWA15,3
Sr '17,A,3,44,24,Control,Sonora,7
Sr '17,A,3,45,1,Control,Beaufort,8
Sr '17,A,3,45,2,CAIGE,22:CWA15,3
Sr '17,A,3,45,3,CAIGE,23:CWA15,1
Sr '17,A,3,45,4,CAIGE,24:CWA15,1
Sr '17,A,3,45,5,CAIGE,25:CWA15,3
Sr '17,A,3,45,6,CAIGE,26:CWA15,4
Sr '17,A,3,45,7,Control,Sonora,5
Sr '17,A,3,45,8,CAIGE,27:CWA15,4
Sr '17,A,3,45,9,CAIGE,28:CWA15,4
Sr '17,A,3,45,10,CAIGE,29:CWA15,2
Sr '17,A,3,45,11,CAIGE,30:CWA15,5
Sr '17,A,3,45,12,CAIGE,32:CWA15,3
Sr '17,A,3,45,13,Control,Yitpi,8
Sr '17,A,3,45,14,CAIGE,33:CWA15,2
Sr '17,A,3,45,15,CAIGE,35:CWA15,3
Sr '17,A,3,45,16,CAIGE,36:CWA15,1
Sr '17,A,3,45,17,CAIGE,37:CWA15,5
Sr '17,A,3,45,18,CAIGE,38:CWA15,7
Sr '17,A,3,45,19,Control,Beaufort,8
Sr '17,A,3,45,20,CAIGE,39:CWA15,6
Sr '17,A,3,45,21,CAIGE,41:CWA15,6
Sr '17,A,3,45,22,CAIGE,43:CWA15,5
Sr '17,A,3,45,23,CAIGE,44:CWA15,6
Sr '17,A,3,45,24,Control,Preston,8
Sr '17,A,3,46,1,Control,Cosmick,6
Sr '17,A,3,46,2,CAIGE,45:CWA15,6
Sr '17,A,3,46,3,CAIGE,46:CWA15,5
Sr '17,A,3,46,4,CAIGE,47:CWA15,8
Sr '17,A,3,46,5,CAIGE,48:CWA15,6
Sr '17,A,3,46,6,CAIGE,49:CWA15,2
Sr '17,A,3,46,7,Control,Shield,4
Sr '17,A,3,46,8,CAIGE,50:CWA15,5
Sr '17,A,3,46,9,CAIGE,52:CWA15,5
Sr '17,A,3,46,10,CAIGE,53:CWA15,3
Sr '17,A,3,46,11,CAIGE,54:CWA15,2
Sr '17,A,3,46,12,CAIGE,55:CWA15,6
Sr '17,A,3,46,13,Control,Cosmick,5
Sr '17,A,3,46,14,CAIGE,56:CWA15,4
Sr '17,A,3,46,15,CAIGE,57:CWA15,3
Sr '17,A,3,46,16,CAIGE,59:CWA15,2
Sr '17,A,3,46,17,CAIGE,62:CWA15,5
Sr '17,A,3,46,18,CAIGE,63:CWA15,4
Sr '17,A,3,46,19,Control,Cosmick,6
Sr '17,A,3,46,20,CAIGE,64:CWA15,3
Sr '17,A,3,46,21,CAIGE,65:CWA15,2
Sr '17,A,3,46,22,CAIGE,66:CWA15,2
Sr '17,A,3,46,23,CAIGE,67:CWA15,5
Sr '17,A,3,46,24,Control,Trojan,4
Sr '17,A,3,47,1,Control,Yitpi,8
