Trial,Bay,Block,Range,Row,Experiment,ENTRY CD,Comments,YS GS32 02/08,YS GS65 17/10
17YLS,D,3,52,73,Control,Corack,,3,3
17YLS,D,3,52,74,CAIGE,2:CWA15,,3,3
17YLS,D,3,52,75,CAIGE,3:CWA15,,4,4
17YLS,D,3,52,76,CAIGE,4:CWA15,,6,5
17YLS,D,3,52,77,CAIGE,5:CWA15,,7,5
17YLS,D,3,52,78,CAIGE,6:CWA15,,3,3
17YLS,D,3,52,79,CAIGE,7:CWA15,,2,3
17YLS,D,3,52,80,CAIGE,8:CWA15,,3,5
17YLS,D,3,52,81,Control,Phantom,,8,8
17YLS,D,3,52,82,CAIGE,9:CWA15,,m,m
17YLS,D,3,52,83,CAIGE,10:CWA15,,2,2
17YLS,D,3,52,84,CAIGE,11:CWA15,,2,2
17YLS,D,3,52,85,CAIGE,12:CWA15,,4,2
17YLS,D,3,52,86,CAIGE,13:CWA15,,3,3
17YLS,D,3,52,87,CAIGE,14:CWA15,,4,6
17YLS,D,3,52,88,CAIGE,15:CWA15,,2,5
17YLS,D,3,52,89,Control,Yitpi,,7,7
17YLS,D,3,52,90,CAIGE,16:CWA15,,3,3
17YLS,D,3,52,91,CAIGE,17:CWA15,,m,m
17YLS,D,3,52,92,CAIGE,18:CWA15,,4,5
17YLS,D,3,52,93,CAIGE,19:CWA15,,5,5
17YLS,D,3,52,94,CAIGE,20:CWA15,,3,1
17YLS,D,3,52,95,CAIGE,22:CWA15,,2,4
17YLS,D,3,52,96,Control,Corack,,3,3
17YLS,D,3,53,73,Control,Phantom,,8,8
17YLS,D,3,53,74,CAIGE,23:CWA15,,7,7
17YLS,D,3,53,75,CAIGE,24:CWA15,,4,5
17YLS,D,3,53,76,CAIGE,25:CWA15,,5,6
17YLS,D,3,53,77,CAIGE,26:CWA15,,3,5
17YLS,D,3,53,78,CAIGE,27:CWA15,,4,4
17YLS,D,3,53,79,CAIGE,28:CWA15,,4,3
17YLS,D,3,53,80,CAIGE,29:CWA15,,4,5
17YLS,D,3,53,81,Control,Gregory,,8,6
17YLS,D,3,53,82,CAIGE,30:CWA15,,3,5
17YLS,D,3,53,83,CAIGE,32:CWA15,,4,4
17YLS,D,3,53,84,CAIGE,33:CWA15,,2,3
17YLS,D,3,53,85,CAIGE,35:CWA15,,4,4
17YLS,D,3,53,86,CAIGE,36:CWA15,,3,5
17YLS,D,3,53,87,CAIGE,37:CWA15,,3,6
17YLS,D,3,53,88,CAIGE,38:CWA15,,8,6
17YLS,D,3,53,89,Control,Corack,,4,3
17YLS,D,3,53,90,CAIGE,39:CWA15,,3,4
17YLS,D,3,53,91,CAIGE,41:CWA15,,8,3
17YLS,D,3,53,92,CAIGE,43:CWA15,,3,3
17YLS,D,3,53,93,CAIGE,44:CWA15,,8,4
17YLS,D,3,53,94,CAIGE,45:CWA15,,5,3
17YLS,D,3,53,95,CAIGE,46:CWA15,,7,4
17YLS,D,3,53,96,Control,Phantom,,8,8
17YLS,D,3,54,73,Control,Phantom,,8,8
17YLS,D,3,54,74,CAIGE,47:CWA15,,2,4
17YLS,D,3,54,75,CAIGE,48:CWA15,,4,4
17YLS,D,3,54,76,CAIGE,49:CWA15,,2,3
17YLS,D,3,54,77,CAIGE,50:CWA15,,3,3
17YLS,D,3,54,78,CAIGE,52:CWA15,,3,4
17YLS,D,3,54,79,CAIGE,53:CWA15,,4,5
17YLS,D,3,54,80,CAIGE,54:CWA15,,4,6
17YLS,D,3,54,81,Control,Phantom,,8,8
17YLS,D,3,54,82,CAIGE,55:CWA15,,3,3
17YLS,D,3,54,83,CAIGE,56:CWA15,,3,4
17YLS,D,3,54,84,CAIGE,57:CWA15,,4,4
17YLS,D,3,54,85,CAIGE,59:CWA15,,8,6
17YLS,D,3,54,86,CAIGE,62:CWA15,,3,3
17YLS,D,3,54,87,CAIGE,63:CWA15,,4,3
17YLS,D,3,54,88,CAIGE,64:CWA15,,5,2
17YLS,D,3,54,89,Control,Yitpi,,8,8
17YLS,D,3,54,90,CAIGE,65:CWA15,,4,5
17YLS,D,3,54,91,CAIGE,66:CWA15,,3,6
17YLS,D,3,54,92,CAIGE,67:CWA15,,6,5
17YLS,D,3,54,93,CAIGE,68:CWA15,,5,3
17YLS,D,3,54,94,CAIGE,69:CWA15,,4,2
17YLS,D,3,54,95,CAIGE,70:CWA15,,3,4
17YLS,D,3,54,96,Control,Emu Rock,,3,4
17YLS,D,3,55,73,Control,Corack,,3,3
17YLS,D,3,55,74,CAIGE,71:CWA15,,4,3
17YLS,D,3,55,75,CAIGE,72:CWA15,,2,4
17YLS,D,3,55,76,CAIGE,73:CWA15,,4,2
17YLS,D,3,55,77,CAIGE,77:CWA15,,3,5
17YLS,D,3,55,78,CAIGE,79:CWA15,,3,6
17YLS,D,3,55,79,CAIGE,81:CWA15,,8,7
17YLS,D,3,55,80,CAIGE,82:CWA15,,5,3
17YLS,D,3,55,81,Control,Livingston,,5,5
17YLS,D,3,55,82,CAIGE,84:CWA15,,6,5
17YLS,D,3,55,83,CAIGE,85:CWA15,,8,4
17YLS,D,3,55,84,CAIGE,Barley filler 86:CWA15,Envelope missing,m,m
17YLS,D,3,55,85,CAIGE,87:CWA15,,2,5
17YLS,D,3,55,86,CAIGE,88:CWA15,,3,4
17YLS,D,3,55,87,CAIGE,89:CWA15,,2,2
17YLS,D,3,55,88,CAIGE,90:CWA15,,4,6
17YLS,D,3,55,89,Control,Phantom,,8,5
17YLS,D,3,55,90,CAIGE,91:CWA15,,4,4
17YLS,D,3,55,91,CAIGE,92:CWA15,,3,4
17YLS,D,3,55,92,CAIGE,Barley filler 93:CWA15,Envelope missing,m,m
17YLS,D,3,55,93,CAIGE,94:CWA15,,2,3
17YLS,D,3,55,94,CAIGE,95:CWA15,,3,2
17YLS,D,3,55,95,CAIGE,96:CWA15,,3,4
17YLS,D,3,55,96,Control,Emu Rock,,4,4
17YLS,D,3,56,73,Control,Yitpi,,8,8
17YLS,D,3,56,74,CAIGE,97:CWA15,,4,4
17YLS,D,3,56,75,CAIGE,98:CWA15,,4,3
17YLS,D,3,56,76,CAIGE,99:CWA15,,3,4
17YLS,D,3,56,77,CAIGE,100:CWA15,,3,4
17YLS,D,3,56,78,CAIGE,101:CWA15,,5,5
17YLS,D,3,56,79,CAIGE,102:CWA15,,3,3
17YLS,D,3,56,80,CAIGE,103:CWA15,,8,5
17YLS,D,3,56,81,Control,Yitpi,,8,8
17YLS,D,3,56,82,CAIGE,104:CWA15,,7,2
17YLS,D,3,56,83,CAIGE,105:CWA15,,1,3
17YLS,D,3,56,84,CAIGE,106:CWA15,,8,5
17YLS,D,3,56,85,CAIGE,107:CWA15,,m,m
17YLS,D,3,56,86,CAIGE,108:CWA15,,8,5
17YLS,D,3,56,87,CAIGE,112:CWA15,,6,3
17YLS,D,3,56,88,CAIGE,113:CWA15,,3,2
17YLS,D,3,56,89,Control,Livingston,,4,5
17YLS,D,3,56,90,CAIGE,114:CWA15,,3,5
17YLS,D,3,56,91,CAIGE,115:CWA15,,5,5
17YLS,D,3,56,92,CAIGE,116:CWA15,,3,4
17YLS,D,3,56,93,CAIGE,117:CWA15,,4,4
17YLS,D,3,56,94,CAIGE,118:CWA15,,3,3
17YLS,D,3,56,95,CAIGE,119:CWA15,,3,5
17YLS,D,3,56,96,Control,Phantom,,8,8
17YLS,D,3,57,73,Control,Gregory,,5,6
17YLS,D,3,57,74,CAIGE,1:RAV15,,6,5
17YLS,D,3,57,75,CAIGE,4:RAV15,,8,5
17YLS,D,3,57,76,CAIGE,5:RAV15,,7,4
17YLS,D,3,57,77,CAIGE,6:RAV15,,5,4
17YLS,D,3,57,78,CAIGE,8:RAV15,,5,5
17YLS,D,3,57,79,CAIGE,15:RAV15,,m,m
17YLS,D,3,57,80,CAIGE,16:RAV15,,4,3
17YLS,D,3,57,81,Control,Phantom,,8,8
17YLS,D,3,57,82,CAIGE,18:RAV15,,7,8
17YLS,D,3,57,83,CAIGE,19:RAV15,,m,m
17YLS,D,3,57,84,CAIGE,20:RAV15,,3,8
17YLS,D,3,57,85,CAIGE,22:RAV15,,8,8
17YLS,D,3,57,86,CAIGE,23:RAV15,,3,5
17YLS,D,3,57,87,CAIGE,24:RAV15,,4,3
17YLS,D,3,57,88,CAIGE,25:RAV15,,3,3
17YLS,D,3,57,89,Control,Corack,,3,3
17YLS,D,3,57,90,CAIGE,28:RAV15,,3,5
17YLS,D,3,57,91,CAIGE,29:RAV15,,4,4
17YLS,D,3,57,92,CAIGE,31:RAV15,,6,3
17YLS,D,3,57,93,CAIGE,33:RAV15,,4,2
17YLS,D,3,57,94,CAIGE,34:RAV15,,3,2
17YLS,D,3,57,95,CAIGE,35:RAV15,,3,5
17YLS,D,3,57,96,Control,Phantom,,8,8
17YLS,D,3,58,73,Control,Yitpi,,6,8
17YLS,D,3,58,74,CAIGE,36:RAV15,,4,2
17YLS,D,3,58,75,CAIGE,37:RAV15,,5,3
17YLS,D,3,58,76,CAIGE,40:RAV15,,7,5
17YLS,D,3,58,77,CAIGE,41:RAV15,,5,4
17YLS,D,3,58,78,CAIGE,42:RAV15,,6,4
17YLS,D,3,58,79,CAIGE,47:RAV15,,8,4
17YLS,D,3,58,80,CAIGE,55:RAV15,,8,3
17YLS,D,3,58,81,Control,Corack,,5,3
17YLS,D,3,58,82,CAIGE,57:RAV15,,8,4
17YLS,D,3,58,83,CAIGE,61:RAV15,,3,3
17YLS,D,3,58,84,CAIGE,62:RAV15,,2,2
17YLS,D,3,58,85,CAIGE,63:RAV15,,5,2
17YLS,D,3,58,86,CAIGE,64:RAV15,,4,3
17YLS,D,3,58,87,CAIGE,65:RAV15,,3,2
17YLS,D,3,58,88,CAIGE,67:RAV15,,3,3
17YLS,D,3,58,89,Control,Corack,,3,3
17YLS,D,3,58,90,CAIGE,69:RAV15,,4,5
17YLS,D,3,58,91,CAIGE,70:RAV15,,2,2
17YLS,D,3,58,92,CAIGE,72:RAV15,,3,2
17YLS,D,3,58,93,CAIGE,73:RAV15,,4,3
17YLS,D,3,58,94,CAIGE,74:RAV15,,2,2
17YLS,D,3,58,95,CAIGE,75:RAV15,,3,2
17YLS,D,3,58,96,Control,Emu Rock,,4,4
17YLS,D,3,59,73,Control,Livingston,,3,5
17YLS,D,3,59,74,CAIGE,82:RAV15,,5,2
17YLS,D,3,59,75,CAIGE,84:RAV15,,5,3
17YLS,D,3,59,76,CAIGE,92:RAV15,,5,3
17YLS,D,3,59,77,CAIGE,93:RAV15,,m,m
17YLS,D,3,59,78,CAIGE,96:RAV15,,3,2
17YLS,D,3,59,79,CAIGE,98:RAV15,,5,5
17YLS,D,3,59,80,CAIGE,99:RAV15,,2,2
17YLS,D,3,59,81,Control,Corack,,4,3
17YLS,D,3,59,82,CAIGE,101:RAV15,,6,2
17YLS,D,3,59,83,CAIGE,106:RAV15,,3,4
17YLS,D,3,59,84,CAIGE,118:RAV15,,2,4
17YLS,D,3,59,85,CAIGE,122:RAV15,,6,2
17YLS,D,3,59,86,CAIGE,124:RAV15,,2,2
17YLS,D,3,59,87,CAIGE,125:RAV15,,2,4
17YLS,D,3,59,88,CAIGE,128:RAV15,,6,3
17YLS,D,3,59,89,Control,Yitpi,,4,6
17YLS,D,3,59,90,CAIGE,132:RAV15,,4,6
17YLS,D,3,59,91,CAIGE,138:RAV15,,3,7
17YLS,D,3,59,92,CAIGE,139:RAV15,,3,5
17YLS,D,3,59,93,CAIGE,141:RAV15,,4,5
17YLS,D,3,59,94,CAIGE,143:RAV15,,3,6
17YLS,D,3,59,95,CAIGE,145:RAV15,,3,4
17YLS,D,3,59,96,Control,Gregory,,4,6
17YLS,D,4,62,73,Control,Gregory,,4,5
17YLS,D,4,62,74,CAIGE,146:RAV15,,4,4
17YLS,D,4,62,75,CAIGE,147:RAV15,,5,5
17YLS,D,4,62,76,CAIGE,148:RAV15,,7,5
17YLS,D,4,62,77,CAIGE,149:RAV15,,6,4
17YLS,D,4,62,78,CAIGE,155:RAV15,,7,4
17YLS,D,4,62,79,CAIGE,160:RAV15,,8,4
17YLS,D,4,62,80,CAIGE,165:RAV15,,7,2
17YLS,D,4,62,81,Control,Phantom,,5,3
17YLS,D,4,62,82,CAIGE,304:RAV15,,8,8
17YLS,D,4,62,83,CAIGE,305:RAV15,,8,4
17YLS,D,4,62,84,CAIGE,306:RAV15,,7,6
17YLS,D,4,62,85,CAIGE,307:RAV15,,7,7
17YLS,D,4,62,86,CAIGE,308:RAV15,,8,5
17YLS,D,4,62,87,CAIGE,309:RAV15,,m,m
17YLS,D,4,62,88,CAIGE,310:RAV15,,8,5
17YLS,D,4,62,89,Control,Yitpi,,8,5
17YLS,D,4,62,90,CAIGE,311:RAV15,,7,8
17YLS,D,4,62,91,CAIGE,1:ZIG14,,8,4
17YLS,D,4,62,92,CAIGE,3:ZIG14,,8,3
17YLS,D,4,62,93,CAIGE,4:ZIG14,,7,4
17YLS,D,4,62,94,CAIGE,5:ZIG14,,6,5
17YLS,D,4,62,95,CAIGE,6:ZIG14,,8,4
17YLS,D,4,62,96,Control,Corack,,4,8
17YLS,D,4,63,73,Control,Gregory,,4,6
17YLS,D,4,63,74,CAIGE,7:ZIG14,,4,4
17YLS,D,4,63,75,CAIGE,8:ZIG14,,4,2
17YLS,D,4,63,76,CAIGE,9:ZIG14,,6,3
17YLS,D,4,63,77,CAIGE,10:ZIG14,,5,2
17YLS,D,4,63,78,CAIGE,11:ZIG14,,5,5
17YLS,D,4,63,79,CAIGE,12:ZIG14,,5,4
17YLS,D,4,63,80,CAIGE,13:ZIG14,,4,3
17YLS,D,4,63,81,Control,Emu Rock,,8,4
17YLS,D,4,63,82,CAIGE,14:ZIG14,,3,5
17YLS,D,4,63,83,CAIGE,15:ZIG14,,3,6
17YLS,D,4,63,84,CAIGE,16:ZIG14,,3,6
17YLS,D,4,63,85,CAIGE,17:ZIG14,,m,m
17YLS,D,4,63,86,CAIGE,19:ZIG14,,4,4
17YLS,D,4,63,87,CAIGE,22:ZIG14,,5,5
17YLS,D,4,63,88,CAIGE,25:ZIG14,,4,3
17YLS,D,4,63,89,Control,Yitpi,,8,6
17YLS,D,4,63,90,CAIGE,26:ZIG14,,3,6
17YLS,D,4,63,91,CAIGE,27:ZIG14,,3,4
17YLS,D,4,63,92,CAIGE,28:ZIG14,,3,3
17YLS,D,4,63,93,CAIGE,29:ZIG14,,2,5
17YLS,D,4,63,94,CAIGE,30:ZIG14,,3,6
17YLS,D,4,63,95,CAIGE,31:ZIG14,,4,5
17YLS,D,4,63,96,Control,Phantom,,7,8
17YLS,D,4,64,73,Control,Phantom,,7,8
