Trial,Bay,Block,Range,Row,Expt_17,Name,Comments,Yr 6/11/17
Yr'17,AGT block,1,122,1,Control,Corack,,6
Yr'17,AGT block,1,122,2,CAIGE,2:CWA15,,1
Yr'17,AGT block,1,122,3,CAIGE,3:CWA15,,1
Yr'17,AGT block,1,122,4,CAIGE,4:CWA15,,1
Yr'17,AGT block,1,122,5,CAIGE,5:CWA15,,1
Yr'17,AGT block,1,122,6,CAIGE,6:CWA15,,2
Yr'17,AGT block,1,122,7,CAIGE,7:CWA15,,1
Yr'17,AGT block,1,122,8,CAIGE,8:CWA15,,1
Yr'17,AGT block,1,122,9,Control,Tincurrin,,7
Yr'17,AGT block,1,122,10,CAIGE,9:CWA15,,1
Yr'17,AGT block,1,122,11,CAIGE,10:CWA15,,1
Yr'17,AGT block,1,122,12,CAIGE,11:CWA15,,1
Yr'17,AGT block,1,122,13,CAIGE,12:CWA15,,4
Yr'17,AGT block,1,122,14,CAIGE,13:CWA15,,3
Yr'17,AGT block,1,122,15,CAIGE,14:CWA15,,5
Yr'17,AGT block,1,122,16,CAIGE,15:CWA15,,1
Yr'17,AGT block,1,122,17,Control,Scepter,,3
Yr'17,AGT block,1,122,18,CAIGE,16:CWA15,,1
Yr'17,AGT block,1,122,19,CAIGE,17:CWA15,,1
Yr'17,AGT block,1,122,20,CAIGE,18:CWA15,,3
Yr'17,AGT block,1,122,21,CAIGE,19:CWA15,,2
Yr'17,AGT block,1,122,22,CAIGE,20:CWA15,,1
Yr'17,AGT block,1,122,23,CAIGE,22:CWA15,,1
Yr'17,AGT block,1,122,24,Control,Mace,,8
Yr'17,AGT block,1,123,1,Control,Tincurrin,,6
Yr'17,AGT block,1,123,2,CAIGE,23:CWA15,,1
Yr'17,AGT block,1,123,3,CAIGE,24:CWA15,,1
Yr'17,AGT block,1,123,4,CAIGE,25:CWA15,,1
Yr'17,AGT block,1,123,5,CAIGE,26:CWA15,,1
Yr'17,AGT block,1,123,6,CAIGE,27:CWA15,,1
Yr'17,AGT block,1,123,7,CAIGE,28:CWA15,,1
Yr'17,AGT block,1,123,8,CAIGE,29:CWA15,,1
Yr'17,AGT block,1,123,9,Control,Corack,,5
Yr'17,AGT block,1,123,10,CAIGE,30:CWA15,,1
Yr'17,AGT block,1,123,11,CAIGE,32:CWA15,,1
Yr'17,AGT block,1,123,12,CAIGE,33:CWA15,,3
Yr'17,AGT block,1,123,13,CAIGE,35:CWA15,,3
Yr'17,AGT block,1,123,14,CAIGE,36:CWA15,,1
Yr'17,AGT block,1,123,15,CAIGE,37:CWA15,,1
Yr'17,AGT block,1,123,16,CAIGE,38:CWA15,,1
Yr'17,AGT block,1,123,17,Control,Ruby,,1
Yr'17,AGT block,1,123,18,CAIGE,39:CWA15,,1
Yr'17,AGT block,1,123,19,CAIGE,41:CWA15,,1
Yr'17,AGT block,1,123,20,CAIGE,43:CWA15,,1
Yr'17,AGT block,1,123,21,CAIGE,44:CWA15,,1
Yr'17,AGT block,1,123,22,CAIGE,45:CWA15,,3
Yr'17,AGT block,1,123,23,CAIGE,46:CWA15,,3
Yr'17,AGT block,1,123,24,Control,Yitpi,,4
Yr'17,AGT block,1,124,1,Control,Scepter,,4
Yr'17,AGT block,1,124,2,CAIGE,47:CWA15,,4
Yr'17,AGT block,1,124,3,CAIGE,48:CWA15,,1
Yr'17,AGT block,1,124,4,CAIGE,49:CWA15,,3
Yr'17,AGT block,1,124,5,CAIGE,50:CWA15,,1
Yr'17,AGT block,1,124,6,CAIGE,52:CWA15,,1
