Trial,Bay,Range,Row,Expt_19,Name,16.07.19,27.08.19,26.09.2019,09.10.19
STB19,A,48,1,CAIGE,3:RAV15,4,7,7,7
STB19,A,48,2,CAIGE,9:RAV15,6,6,7,8
STB19,A,48,3,CAIGE,30:RAV15,5,6,7,7
STB19,A,48,4,CAIGE,103:RAV15,4,6,7,6
STB19,A,49,1,CAIGE,121:RAV15,3,5,7,7
STB19,A,49,2,CAIGE,127:RAV15,4,6,7,8
STB19,A,49,3,CAIGE,151:RAV15,4,6,8,8
STB19,A,49,4,CAIGE,159:RAV15,5,6,7,8
STB19,A,50,1,CAIGE,192:RAV15,4,5,7,7
STB19,A,50,2,CAIGE,221:RAV15,4,6,7,6
STB19,A,50,3,CAIGE,239:RAV15,4,6,8,8
STB19,A,50,4,CAIGE,242:RAV15,4,7,7,8
STB19,A,51,1,CAIGE,255:RAV15,4,5,7,7
STB19,A,51,2,CAIGE,258:RAV15,4,6,8,8
STB19,A,51,3,CAIGE,259:RAV15,5,7,8,7
STB19,A,51,4,CAIGE,296:RAV15,5,5,6,6
STB19,A,52,1,CAIGE,51:SBP17,4,5,7,6
STB19,A,52,2,CAIGE,52:SBP17,5,6,7,7
STB19,A,52,3,CAIGE,53:SBP17,5,7,7,7
STB19,A,52,4,CAIGE,54:SBP17,5,5,7,7
STB19,A,53,1,CAIGE,55:SBP17,6,5,7,7
STB19,A,53,2,CAIGE,1:SBP18,4,5,7,6
STB19,A,53,3,CAIGE,3:SBP18,5,5,7,5
STB19,A,53,4,CAIGE,5:SBP18,5,5,6,6
STB19,A,54,1,CAIGE,6:SBP18,4,5,7,6
STB19,A,54,2,CAIGE,7:SBP18,5,5,7,6
STB19,A,54,3,CAIGE,9:SBP18,5,6,7,6
STB19,A,54,4,CAIGE,12:SBP18,5,6,7,7
STB19,A,55,1,CAIGE,15:SBP18,3,4,4,6
STB19,A,55,2,CAIGE,16:SBP18,6,7,6,7
STB19,A,55,3,CAIGE,19:SBP18,5,7,7,7
STB19,A,55,4,CAIGE,20:SBP18,6,6,7,7
STB19,A,56,1,CAIGE,21:SBP18,4,5,5,6
STB19,A,56,2,CAIGE,22:SBP18,4,6,5,6
STB19,A,56,3,CAIGE,24:SBP18,5,7,5,6
STB19,A,56,4,CAIGE,25:SBP18,5,6,7,7
STB19,A,57,1,CAIGE,26:SBP18,4,6,7,8
STB19,A,57,2,CAIGE,27:SBP18,6,5,6,7
STB19,A,57,3,CAIGE,28:SBP18,5,6,7,8
STB19,A,57,4,CAIGE,29:SBP18,5,6,6,7
STB19,A,58,1,CAIGE,10:SBP18,4,6,6,7
STB19,A,58,2,CAIGE,106:ZIF16,5,4,4,6
STB19,A,58,3,CAIGE,1:ZIG18,4,5,4,6
STB19,A,58,4,CAIGE,3:ZIG18,5,6,6,7
STB19,A,59,1,CAIGE,4:ZIG18,5,5,6,6
STB19,A,59,2,CAIGE,9:ZIG18,5,4,5,6
STB19,A,59,3,CAIGE,18:ZIG18,4,7,6,7
STB19,A,59,4,CAIGE,20:ZIG18,6,6,7,7
STB19,A,60,1,CAIGE,21:ZIG18,4,5,6,6
STB19,A,60,2,CAIGE,22:ZIG18,5,5,7,8
STB19,A,60,3,CAIGE,24:ZIG18,5,5,5,7
STB19,A,60,4,CAIGE,30:ZIG18,6,5,7,7
STB19,A,61,1,CAIGE,31:ZIG18,6,6,7,7
STB19,A,61,2,CAIGE,32:ZIG18,5,5,7,7
STB19,A,61,3,CAIGE,33:ZIG18,4,6,8,8
STB19,A,61,4,CAIGE,38:ZIG18,5,6,7,7
STB19,A,62,1,CAIGE,41:ZIG18,5,6,7,8
STB19,A,62,2,CAIGE,42:ZIG18,5,5,7,8
STB19,A,62,3,CAIGE,47:ZIG18,5,5,5,7
STB19,A,62,4,CAIGE,3:ZIZ17,5,5,7,7
STB19,A,63,1,CAIGE,5:ZIZ17,4,4,5,6
STB19,A,63,2,CAIGE,1:ZIZ18,5,6,4,6
STB19,A,63,3,CAIGE,3:ZIZ18,4,5,6,6
STB19,A,63,4,CAIGE,5:ZIZ18,4,5,6,7
STB19,A,64,1,CAIGE,6:ZIZ18,6,6,7,8
STB19,A,64,2,CAIGE,7:ZIZ18,5,5,6,6
STB19,A,64,3,CAIGE,8:ZIZ18,5,5,5,5
STB19,A,64,4,CAIGE,9:ZIZ18,5,5,4,6
STB19,A,65,1,CAIGE,12:ZIZ18,5,5,6,6
STB19,A,65,2,CAIGE,13:ZIZ18,6,5,6,6
STB19,A,65,3,CAIGE,14:ZIZ18,5,5,4,6
STB19,A,65,4,CAIGE,16:ZIZ18,5,5,5,6
STB19,A,66,1,CAIGE,17:ZIZ18,5,6,6,7
STB19,A,66,2,CAIGE,19:ZIZ18,5,6,6,7
STB19,A,66,3,CAIGE,20:ZIZ18,5,5,6,7
STB19,A,66,4,CAIGE,21:ZIZ18,5,6,6,7
STB19,A,67,1,CAIGE,23:ZIZ18,6,5,5,6
STB19,A,67,2,CAIGE,24:ZIZ18,6,5,5,6
STB19,A,67,3,CAIGE,25:ZIZ18,5,6,6,6
STB19,A,67,4,CAIGE,27:ZIZ18,5,5,5,7
STB19,A,68,1,CAIGE,30:ZIZ18,5,6,7,8
STB19,A,68,2,CAIGE,31:ZIZ18,5,5,5,7
STB19,A,68,3,CAIGE,32:ZIZ18,5,6,8,7
STB19,A,68,4,CAIGE,35:ZIZ18,5,5,5,7
STB19,A,69,1,CAIGE,38:ZIZ18,6,6,6,7
STB19,A,69,2,CAIGE,41:ZIZ18,5,4,5,7
STB19,A,69,3,CAIGE,42:ZIZ18,5,5,5,6
STB19,A,69,4,CAIGE,43:ZIZ18,5,6,6,6
STB19,A,70,1,CAIGE,45:ZIZ18,5,5,6,7
STB19,A,70,2,CAIGE,46:ZIZ18,6,5,6,7
STB19,A,70,3,CAIGE,47:ZIZ18,5,6,7,7
STB19,A,70,4,CAIGE,48:ZIZ18,6,5,7,7
STB19,A,71,1,CAIGE,49:ZIZ18,5,5,6,6
STB19,A,71,2,CAIGE,50:ZIZ18,5,5,4,5
STB19,A,71,3,CAIGE,52:ZIZ18,4,4,5,6
STB19,A,71,4,CAIGE,55:ZIZ18,5,5,5,5
STB19,A,72,1,CAIGE,57:ZIZ18,4,5,6,5
STB19,A,72,2,CAIGE,58:ZIZ18,4,5,6,6
STB19,A,72,3,CAIGE,62:ZIZ18,5,5,5,5
STB19,A,72,4,CAIGE,63:ZIZ18,4,5,6,5
STB19,A,73,1,CAIGE,71:ZIZ18,4,5,6,6
STB19,A,73,2,CAIGE,72:ZIZ18,4,5,6,6
STB19,A,73,3,CAIGE,74:ZIZ18,4,6,6,7
STB19,A,73,4,CAIGE,76:ZIZ18,4,5,6,6
STB19,A,74,1,CAIGE,82:ZIZ18,5,6,7,8
STB19,A,74,2,CAIGE,87:ZIZ18,5,5,7,7
STB19,A,74,3,CAIGE,89:ZIZ18,4,5,7,6
STB19,A,74,4,CAIGE,91:ZIZ18,5,5,7,7
STB19,A,75,1,CAIGE,92:ZIZ18,4,7,7,7
STB19,A,75,2,CAIGE,93:ZIZ18,5,5,7,8
STB19,A,75,3,CAIGE,95:ZIZ18,4,6,6,8
STB19,A,75,4,CAIGE,96:ZIZ18,5,6,7,7
STB19,A,76,1,CAIGE,97:ZIZ18,5,6,6,8
STB19,A,76,2,CAIGE,101:ZIZ18,4,5,5,5
STB19,A,76,3,CAIGE,103:ZIZ18,4,6,6,7
STB19,A,76,4,CAIGE,104:ZIZ18,4,6,7,7
STB19,A,77,1,CAIGE,105:ZIZ18,3,6,7,6
STB19,A,77,2,CAIGE,107:ZIZ18,3,5,6,6
STB19,A,77,3,CAIGE,108:ZIZ18,4,6,6,6
STB19,A,77,4,CAIGE,109:ZIZ18,4,5,6,6
STB19,A,78,1,CAIGE,110:ZIZ18,4,6,6,7
STB19,A,78,2,CAIGE,120:ZIZ18,4,5,5,5
STB19,A,78,3,CAIGE,122:ZIZ18,5,5,5,5
STB19,A,78,4,CAIGE,123:ZIZ18,6,6,6,5
STB19,A,79,1,CAIGE,125:ZIZ18,5,5,7,7
STB19,A,79,2,CAIGE,128:ZIZ18,5,4,7,6
STB19,A,79,3,CAIGE,129:ZIZ18,5,5,6,7
STB19,A,79,4,CAIGE,130:ZIZ18,4,4,6,6
