Trial,Bay,Block,Range,Row,Expt_19,Name,03.09.19,18.09.19
19YLS,A,3,55,1,Control,Correll,8,9
19YLS,A,3,55,2,CAIGE,3:RAV15,5,5
19YLS,A,3,55,3,CAIGE,9:RAV15,5,5
19YLS,A,3,55,4,CAIGE,30:RAV15,5,3
19YLS,A,3,55,5,CAIGE,103:RAV15,6,5
19YLS,A,3,55,6,CAIGE,121:RAV15,5,5
19YLS,A,3,55,7,CAIGE,127:RAV15,5,3
19YLS,A,3,55,8,CAIGE,151:RAV15,3,4
19YLS,A,3,55,9,Control,Longsword,2,2
19YLS,A,3,55,10,CAIGE,159:RAV15,6,6
19YLS,A,3,55,11,CAIGE,192:RAV15,3,5
19YLS,A,3,55,12,CAIGE,221:RAV15,7,5
19YLS,A,3,55,13,CAIGE,239:RAV15,6,6
19YLS,A,3,55,14,CAIGE,242:RAV15,3,3
19YLS,A,3,55,15,CAIGE,255:RAV15,3,5
19YLS,A,3,55,16,CAIGE,258:RAV15,3,3
19YLS,A,3,55,17,Control,Phantom,6,8
19YLS,A,3,55,18,CAIGE,259:RAV15,3,3
19YLS,A,3,55,19,CAIGE,296:RAV15,3,4
19YLS,A,3,55,20,CAIGE,51:SBP17,4,4
19YLS,A,3,55,21,CAIGE,52:SBP17,3,3
19YLS,A,3,55,22,CAIGE,53:SBP17,3,3
19YLS,A,3,55,23,CAIGE,54:SBP17,4,5
19YLS,A,3,55,24,Control,Yitpi,6,6
19YLS,A,3,56,1,Control,Phantom,8,8
19YLS,A,3,56,2,CAIGE,55:SBP17,3,3
19YLS,A,3,56,3,CAIGE,1:SBP18,5,4
19YLS,A,3,56,4,CAIGE,3:SBP18,4,5
19YLS,A,3,56,5,CAIGE,5:SBP18,6,4
19YLS,A,3,56,6,CAIGE,6:SBP18,5,5
19YLS,A,3,56,7,CAIGE,7:SBP18,5,5
19YLS,A,3,56,8,CAIGE,9:SBP18,4,5
19YLS,A,3,56,9,Control,Yitpi,5,6
19YLS,A,3,56,10,CAIGE,12:SBP18,5,4
19YLS,A,3,56,11,CAIGE,15:SBP18,4,5
19YLS,A,3,56,12,CAIGE,16:SBP18,3,3
19YLS,A,3,56,13,CAIGE,19:SBP18,4,4
19YLS,A,3,56,14,CAIGE,20:SBP18,3,4
