EntryCD,GID,Cross,SelHistory,NurseryName
1:BWT19,8294933,EGA BONNIE ROCK*2//FRET2*2/SHAMA/3/MACE,CMSS14B00943S-099M-099Y-3M-0WGY,CIMMYT-TURKEY
1:SBP18,6932283,DANPHE/2*BAJ#1,CMSS09Y00703T-099TOPM-099Y-099M-099Y-19WGY-0B,CIMMYT-TURKEY
1:ZIF16,400017101,ATTILA-50Y//ATTILA/BCN///STAR'S'/KAUZ'S',AISBW05.0006-2AP-0AP-0AP-2AP-0SD,ICARDA
1:ZIG18,200005565,BABAX/LR42//BABAX/3/BERKUT/5/CNO79//PF70354/MUS/3/PASTOR/4/BABAX,RSM302005YTOP-12T-03CJ-05T-05CJ-2T-0CJ,RSI
1:ZIG19,200006716,02W50807_2/7/CAL/NH//H567.71/3/SERI/4/CAL/NH//H567.71/5/2*KAUZ/6/PASTOR,RSMCJ0809BW100S-32CJ-05T-05CJ-05CJ-1CH-0CH,RSI
1:ZIZ17,400016864,YMI#6/GEN//TIA.1/3/VEE#5//DOVE/BUC/4/ASFOOR-4,AISBW05.0377-1AP-0AP-0AP-4AP-0AP,ICARDA
1:ZIZ18,200005299,ALTAR 84/AE.SQUARROSA(219)//SERI/3/CATBIRD-3,ICW06.00546-2AP-0AP-0AP-2AP-0AP-0TR,ICARDA
1:ZWB19,8049047,SERI.1B*2/3/KAUZ*2/BOW//KAUZ/4/FRANCOLIN#1/5/MUNAL/6/KACHU#1/KIRITATI//KACHU,CMSS12Y276S-99Y-099M-099NJ-099NJ-10Y-0WGY,CIMMYT
10:SBP18,6933443,TUKURU//BAV92/RAYON/6/NG8201/KAUZ/4/SHA7//PRL/VEE#6/3/FASAN/5/MILAN/KAUZ/7/TRCH/SRTU//KACHU,CMSS10Y00314S-099Y-099M-3WGY-0B,CIMMYT-TURKEY
10:ZIF16,400017545,CHUM/8/7*BCN/9/SW89.2089/KAUZ,AISBW05.0310-1AP-0AP-0AP-1AP-0SD,ICARDA
10:ZIF19,400020490,ABUZIG-10//2*PFAU/MILAN,ICW08.50463-10AP-0AP-0AP-4KUL-010DZ,ICARDA
10:ZIG19,200006626,PRL/2*PASTOR//KACHU,RSMW193,RSI
10:ZSA18,8188462,IRAN-880/3/ATTILA*2/PBW65//MURGA,PTSS13Y00139T-099B-099Y-5B-020Y-0B,CIMMYT
10:ZSA19,8329081,W15.92/4/PASTOR//HXL7573/2*BAU/3/WBLL1/5/OAX92.2.5/6/BABAX/LR42//BABAX/3/ER2000,PTSS12GHB00017T-0TOPB-099Y-099B-2Y-020Y-0B,CIMMYT
10:ZWB17,7398872,KACHU#1/YUNMAI47//KACHU/5/SAUAL/3/C80.1/3*BATAVIA//2*WBLL1/4/SITE/MO//PASTOR/3/TILHI,CMSS11Y00191S-099Y-099M-099NJ-099NJ-11WGY-0B,CIMMYT
10:ZWB18,7461788,MUTUS*2/KINGBIRD#1/3/KSW/SAUAL//SAUAL,CMSS11B00495S-099M-099NJ-099NJ-11WGY-0M,CIMMYT
10:ZWB19,8050537,WBLL1*2/BRAMBLING//WBLL1*2/BRAMBLING/3/2*BORLAUG 100,CMSS12Y00929T-099TOPM-099Y-099M-099NJ-099NJ-6Y-0WGY,CIMMYT
10:ZWY19,8287868,PAVLOVKA/V15.89C//NAVJ07/3/ROLF07/4/MUCUY,PTSS14Y00314S-0B-099Y-099B-25Y-020Y,CIMMYT
100:ZIF19,400020966,KINGBIRD/3/NESMA*2/14-2//2*SAFI-3,ICW08.00300-11AP-0AP-0AP-2KUL-010DZ,ICARDA
100:ZIZ17,400018038,SERI.1B*2/3/KAUZ*2/BOW//KAUZ/6/LFN/II58.57//PRL/3/HAHN/4/KAUZ/5/KAUZ,AISBW05.0044-5AP-0AP-0AP-9AP-0AP,ICARDA
100:ZIZ19,400021310,FLORKWA-2/85-Z-1284//ETBW-4920/3/LOULOU-18,ICW08.50436-3AP-0AP-0AP-4KUL-010DZ,ICARDA
100:ZWB17,7400305,SAUAL/YANAC//SAUAL/5/UP2338*2/SHAMA/3/MILAN/KAUZ//CHIL/CHUM18/4/UP2338*2/SHAMA/6/UP2338*2/SHAMA/3/MILAN/KAUZ//CHIL/CHUM18/4/UP2338*2/SHAMA,CMSS11Y01152T-099TOPM-099Y-099M-099NJ-099NJ-2WGY-0B,CIMMYT
100:ZWB18,7630477,KSW/5/2*ALTAR 84/AE.SQUARROSA(221)//3*BORL95/3/URES/JUN//KAUZ/4/WBLL1/6/KACHU#1/KIRITATI//KACHU/7/KUTZ,CMSS12Y00902T-099TOPM-099Y-099M-0SY-7M-0WGY,CIMMYT
100:ZWB19,8051053,KACHU/KINDE*2/3/WBLL1*2/BRAMBLING//CHYAK,CMSS12Y01079T-099TOPM-099Y-099M-099NJ-099NJ-2Y-0WGY,CIMMYT
101:ZIF16,400016735,NJORO-SD-7//VEE/NAC,ICW06.00726-14AP0KUL-0DZ0AP-0DZ0AP-2AP-0AP,ICARDA
101:ZIF19,400020741,KOUKAB-1//PFAU/MILAN,ICW07.0754-11AP-0AP-0AP-1AP,ICARDA
101:ZIZ17,400018810,KAUZ/AA//KAUZ/3/SOMAMA-3,AISBW05.0047-3AP-0AP-0AP-2AP-0AP,ICARDA
101:ZIZ18,400016795,MUNIA/ALTAR 84//MILAN/3/MILAN/PASTOR,ICW07.0455-3AP-0AP-03SD-2SD-0SD,ICARDA
101:ZIZ19,400021115,FOW-1/SHUHA-8//ETBW-4921/3/MILAN/PASTOR,ICW08.50440-10AP-0AP-0AP-1TR,ICARDA
101:ZWB19,8051074,BAJ#1/PAURAQ*2/3/PRL/2*PASTOR*2//FH6-1-7,CMSS12Y01083T-099TOPM-099Y-099M-099NJ-099NJ-14Y-0WGY,CIMMYT
102:ZIF16,400016736,SERI.1B//KAUZ/HEVO/3/AMAD/4/FLAG-2,ICW06.00141-18AP0KUL-0DZ0AP-0DZ0AP-1AP-0AP,ICARDA
102:ZIZ19,400020632,GALVEZ/WEAVER/3/VORONA/CNO79//KAUZ/4/MILAN//PSN/BOW,ICW07.0151-6AP-0AP-0AP-4AP-0KUL,ICARDA
102:ZWB16,7171172,WBLL1*2/KURUKU//HEILO/3/WBLL1*2/KURUKU/4/KINGBIRD#1//INQALAB 91*2/TUKURU,CMSS10B00442S-099M-099NJ-099NJ-33WGY-0B,CIMMYT
102:ZWB19,8051134,SITE/MO//PASTOR/3/TILHI/4/MUNAL#1/5/MUNAL*2/6/BECARD/QUAIU#1,CMSS12Y01109T-099TOPM-099Y-099M-099NJ-099NJ-20Y-0WGY,CIMMYT
103:RAV15,6935993,KACHU/6/YAR/AE.SQUARROSA(783)/4/GOV/AZ//MUS/3/SARA/5/MYNA/VUL//JUN,CMSS09B00467S-099ZTM-099NJ-099NJ-12WGY-0B,CIMMYT
103:ZIF19,400020739,MASSIRA//MILAN/PASTOR,ICW07.0019-1AP-0AP-0AP-5AP,ICARDA
103:ZIZ17,400018808,SERI.1B*2/3/KAUZ*2/BOW//KAUZ/4/KAUZ/FLORKWA-1,AISBW05.0086-4AP-0AP-0AP-1AP-0AP,ICARDA
103:ZIZ18,400016792,KAUZ/RUTH-3,ICW07.0006-4AP-0AP-0AP-2SD-0SD,ICARDA
103:ZWB16,7046099,CHEN/AE.SQUARROSA//WEAVER/3/SSERI1/4/TOBA97/PASTOR/5/MUU#1/6/KACHU#1//PI610750/SASIA/3/KACHU,CMSS10B00473S-099M-0SY-9M-0WGY,CIMMYT
103:ZWB18,7630530,SUP152/BAJ#1//TRCH/HUIRIVIS#1/3/SUP152/BAJ#1,CMSS12Y00918T-099TOPM-099Y-099M-0SY-31M-0WGY,CIMMYT
103:ZWB19,8044698,FRET2*2/SHAMA//KACHU/3/MUTUS*2/MUU,CMSS12B00016S-099M-099NJ-099NJ-24Y-0WGY,CIMMYT
104:ZIF19,400020964,AZD-2//PFAU/MILAN,ICW07.0205-1AP-0AP-0AP-1AP,ICARDA
104:ZIZ18,200003517,HUBARA-5/3/NESMA*2/261-9//FIRETAIL,ICW07.0248-2AP-0AP-0AP-1SD-0SD,ICARDA
104:ZIZ19,400019470,HUBARA-1/5/KAUZ/3/MYNA/VUL//BUC/FLK/4/MILAN,ICW07.0256-7AP-0AP-0AP-3AP,ICARDA
104:ZWB16,7171238,UP2338*2/VIVITSI/3/FRET2/TUKURU//FRET2/4/MISR-1/5/TUKURU//BAV92/RAYON*2/3/PVN,CMSS10B00474S-099M-099NJ-099NJ-19WGY-0B,CIMMYT
