A	SNP_taxa_chr_pos	C	link	info_1	info_2	info_3	paper	gene_chr_pos
SNP	wheat 2A 43211220	gene/transcript	http://plants.ensembl.org/Triticum_aestivum/Transcript/Domains?db=core;g=TraesCS2A02G090300;r=2A:42911220-43341220;t=TraesCS2A02G090300.1	disease resistance protein, P-loop containing nucleoside triphosphate hydrolase, leucine-rich repeat	.	.	.	2A:43197872-43201055
SNP	wheat 2A 43211220	gene/transcript	http://plants.ensembl.org/Triticum_aestivum/Transcript/Domains?db=core;g=TraesCS2A02G090200;r=2A:42911220-43341220;t=TraesCS2A02G090200.1	zinc finger C2H2-type	DNA-binding transcription factor?	.	.	2A:43179746-43180538
SNP	wheat 2A 43211220	gene/transcript	http://plants.ensembl.org/Triticum_aestivum/Transcript/Domains?db=core;g=TraesCS2A02G090100;r=2A:42911220-43341220;t=TraesCS2A02G090100.1	leucine-rich repeat	.	.	.	2A:43145100-43152110
SNP	wheat 2A 43211220	gene/transcript	http://plants.ensembl.org/Triticum_aestivum/Transcript/Domains?db=core;g=TraesCS2A02G090000;r=2A:42911220-43341220;t=TraesCS2A02G090000.1	ATPase, P-loop containing nucleoside triphosphate hydrolase	.	.	.	2A:43133461-43137267
SNP	wheat 2A 43211220	gene/transcript	http://plants.ensembl.org/Triticum_aestivum/Transcript/Domains?db=core;g=TraesCS2A02G090400;r=2A:42911220-43341220;t=TraesCS2A02G090400.1	protein kinase	.	.	.	2A:43285359-43286264
SNP	wheat 2A 43211220	gene/transcript	http://plants.ensembl.org/Triticum_aestivum/Transcript/ProteinSummary?db=core;g=TraesCS2A02G090500;r=2A:42911220-43341220;t=TraesCS2A02G090500.1	SCAR/WAVE	involved in actin cytoskeleton reorganisation?	.	.	2A:43290602-43292509
SNP	wheat 2A 43211220	gene/transcript	http://plants.ensembl.org/Triticum_aestivum/Transcript/Domains?db=core;g=TraesCS2A02G090600;r=2A:42911220-43341220;t=TraesCS2A02G090600.1	legume lectin, protein kinase	may be involved in defense response to bacterium and oomycetes	paper: interesting, but active part is not shared with this transcript	https://europepmc.org/article/MED/16441240	2A:43297440-43299784
SNP	wheat 2A 43211220	gene/transcript	http://plants.ensembl.org/Triticum_aestivum/Transcript/Domains?db=core;g=TraesCS2A02G090900;r=2A:43341220-43461220;t=TraesCS2A02G090900.1	NAD(P)-binding, short-chain dehydrogenase/reductase SDR	.	.	.	2A:43429693-43430685
SNP	wheat 2A 43211220	gene/transcript	http://plants.ensembl.org/Triticum_aestivum/Transcript/Domains?db=core;g=TraesCS2A02G091000;r=2A:43341220-43461220;t=TraesCS2A02G091000.1	NAD(P)-binding, short-chain dehydrogenase/reductase SDR	.	.	.	2A:43458371-43459799
SNP	wheat 2A 43211220	gene/transcript	http://plants.ensembl.org/Triticum_aestivum/Transcript/Domains?db=core;g=TraesCS2A02G089900;r=2A:42611220-42911220;t=TraesCS2A02G089900.1	casparian strip membrane protein	.	.	.	2A:42784681-42786168
SNP	wheat 2A 43211220	gene/transcript	http://plants.ensembl.org/Triticum_aestivum/Transcript/Domains?db=core;g=TraesCS2A02G089700;r=2A:42611220-42911220;t=TraesCS2A02G089700.1	photosystem II PsbJ	.	.	.	2A:42772719-42772862
SNP	wheat 2A 43211220	gene/transcript	http://plants.ensembl.org/Triticum_aestivum/Transcript/Domains?db=core;g=TraesCS2A02G089800;r=2A:42611220-42911220;t=TraesCS2A02G089800.1	ribosomal protein L33	.	.	.	2A:42773622-42773813
SNP	wheat 2A 43211220	gene/transcript	http://plants.ensembl.org/Triticum_aestivum/Transcript/Domains?db=core;g=TraesCS2A02G089600;r=2A:42611220-42911220;t=TraesCS2A02G089600.1	S-adenosyl-L-methionine-dependent methyltransferase	.	.	.	2A:42719093-42721613
SNP	wheat 2A 43211220	gene/transcript	http://plants.ensembl.org/Triticum_aestivum/Transcript/Domains?db=core;g=TraesCS2A02G089500;r=2A:42611220-42911220;t=TraesCS2A02G089500.1	helicase, P-loop containing nucleoside triphosphate hydrolase, SNF2	seems able to remove histones, unwind DNA and may modify it, maybe for DNA repair?	seems to methylate DNA for gene silencing	.	2A:42704037-42710045
