A	SNP_taxa_chr_pos	C	link	info_1	info_2	info_3	paper	gene_chr_pos
SNP	wheat 4A 701653464	gene/transcript	http://plants.ensembl.org/Triticum_aestivum/Transcript/Domains?db=core;g=TraesCS4A02G428900;r=4A:699898062-700076089;t=TraesCS4A02G428900.1	ATPase, V0 complex, subunit e1/e2	involved in proton transmembrane transportation	.	.	4A:699899776-699902312
SNP	wheat 4A 701653464	gene/transcript	http://plants.ensembl.org/Triticum_aestivum/Transcript/Domains?db=core;g=TraesCS4A02G429000;r=4A:699898062-700076089;t=TraesCS4A02G429000.1	no information	.	.	.	4A:699933951-699935586
SNP	wheat 4A 701653464	gene/transcript	http://plants.ensembl.org/Triticum_aestivum/Transcript/Domains?db=core;g=TraesCS4A02G429100;r=4A:699898062-700076089;t=TraesCS4A02G429100.1	ankyrin repeat, zinc finger, RING/FYVE/PHD-type	.	.	.	4A:699975857-699981804
SNP	wheat 4A 701653464	gene/transcript	http://plants.ensembl.org/Triticum_aestivum/Transcript/Domains?db=core;g=TraesCS4A02G429200;r=4A:699898062-700076089;t=TraesCS4A02G429200.1	ribosomal protein L29/L35, mitochondrial ribosomal protein L47	.	.	.	4A:700013211-700016358
SNP	wheat 4A 701653464	gene/transcript	http://plants.ensembl.org/Triticum_aestivum/Transcript/Domains?db=core;g=TraesCS4A02G429300;r=4A:699898062-700076089;t=TraesCS4A02G429300.1	NUC153, nucleolar protein 10/Enp2, WD40-repeat-containing	.	.	.	4A:700017923-700024974
SNP	wheat 4A 701653464	gene/transcript	http://plants.ensembl.org/Triticum_aestivum/Transcript/Domains?db=core;g=TraesCS4A02G429400;r=4A:700076089-700476089;t=TraesCS4A02G429400.1	LMBR1-like membrane protein	.	.	.	4A:700417693-700422474
SNP	wheat 4A 701653464	gene/transcript	http://plants.ensembl.org/Triticum_aestivum/Transcript/Domains?db=core;g=TraesCS4A02G429400;r=4A:700076089-700476089;t=TraesCS4A02G429400.3	LMBR1-like membrane protein	.	.	.	4A:700417693-700422474
SNP	wheat 4A 701653464	gene/transcript	http://plants.ensembl.org/Triticum_aestivum/Transcript/Domains?db=core;g=TraesCS4A02G429400;r=4A:700076089-700476089;t=TraesCS4A02G429400.2	LMBR1-like membrane protein	.	.	.	4A:700417693-700422474
SNP	wheat 4A 701653464	gene/transcript	http://plants.ensembl.org/Triticum_aestivum/Transcript/Domains?db=core;g=TraesCS4A02G429400;r=4A:700076089-700476089;t=TraesCS4A02G429400.4	LMBR1-like membrane protein	.	.	.	4A:700419781-700422201
SNP	wheat 4A 701653464	gene/transcript	http://plants.ensembl.org/Triticum_aestivum/Transcript/Domains?db=core;g=TraesCS4A02G429500;r=4A:700076089-700476089;t=TraesCS4A02G429500.1	GDSL lipase/esterase, SGNH hydrolase	.	.	.	4A:700428144-700429969
SNP	wheat 4A 701653464	gene/transcript	http://plants.ensembl.org/Triticum_aestivum/Transcript/Domains?db=core;g=TraesCS4A02G429600;r=4A:700076089-700476089;t=TraesCS4A02G429600.1	B3 DNA binding, DNA-binding pseudobarrel	.	.	.	4A:700449628-700450459
SNP	wheat 4A 701653464	gene/transcript	http://plants.ensembl.org/Triticum_aestivum/Transcript/Domains?db=core;g=TraesCS4A02G429700;r=4A:700476089-700876089;t=TraesCS4A02G429700.2	cupredoxin, laccase, multicopper oxidase	.	.	.	4A:700733387-700739692
SNP	wheat 4A 701653464	gene/transcript	http://plants.ensembl.org/Triticum_aestivum/Transcript/Domains?db=core;g=TraesCS4A02G429700;r=4A:700476089-700876089;t=TraesCS4A02G429700.1	cupredoxin, laccase, multicopper oxidase	.	.	.	4A:700733387-700739692
SNP	wheat 4A 701653464	gene/transcript	http://plants.ensembl.org/Triticum_aestivum/Transcript/Domains?db=core;g=TraesCS4A02G429800;r=4A:701276089-701676089;t=TraesCS4A02G429800.1	glutathione S-transferase	.	.	.	4A:701282895-701285413
SNP	wheat 4A 701653464	gene/transcript	http://plants.ensembl.org/Triticum_aestivum/Transcript/Domains?db=core;g=TraesCS4A02G429900;r=4A:701276089-701676089;t=TraesCS4A02G429900.1	glutathione S-transferase	.	.	.	4A:701293297-701294011
SNP	wheat 4A 701653464	gene/transcript	http://plants.ensembl.org/Triticum_aestivum/Transcript/Domains?db=core;g=TraesCS4A02G430000;r=4A:701276089-701676089;t=TraesCS4A02G430000.1	Zf-FLZ	.	.	.	4A:701311592-701312227
SNP	wheat 4A 701653464	gene/transcript	http://plants.ensembl.org/Triticum_aestivum/Transcript/Domains?db=core;g=TraesCS4A02G430100;r=4A:701276089-701676089;t=TraesCS4A02G430100.1	allene oxide cyclase, dirigent protein, jacalin-like lectin	may be involved in disease response	.	.	4A:701479923-701482700
SNP	wheat 4A 701653464	gene/transcript	http://plants.ensembl.org/Triticum_aestivum/Transcript/Domains?db=core;g=TraesCS4A02G430200;r=4A:701276089-701676089;t=TraesCS4A02G430200.2	dirigent protein, jacalin-like lectin	may be involved in disease response	.	.	4A:701561756-701564431
SNP	wheat 4A 701653464	gene/transcript	http://plants.ensembl.org/Triticum_aestivum/Transcript/Domains?db=core;g=TraesCS4A02G430200;r=4A:701276089-701676089;t=TraesCS4A02G430200.1	allene oxide cyclase, dirigent protein, jacalin-like lectin	may be involved in disease response	.	.	4A:701561756-701564431
