A	SNP_taxa_chr_pos	C	link	info_1	info_2	info_3	paper	gene_chr_pos
SNP	wheat 3B 735391182	gene/transcript	http://plants.ensembl.org/Triticum_aestivum/Transcript/Domains?db=core;g=TraesCS3B02G489500;r=3B:735191182-735591182;t=TraesCS3B02G489500.1	flowering-promoting factor 1	regulation of flower development, involved in regulating flowering time?	peaking SNP is about 1kb upstream of this gene	.	3B:735380775-735381803
SNP	wheat 3B 735391182	gene/transcript	http://plants.ensembl.org/Triticum_aestivum/Transcript/Domains?db=core;g=TraesCS3B02G489400;r=3B:734791182-735191182;t=TraesCS3B02G489400.1	MATH/TRAF, SKP1/BTB/POZ	protein ubiquitination?	related genes are involved in various things, so can not be inferred for this	.	3B:735130970-735131602
SNP	wheat 3B 735391182	gene/transcript	http://plants.ensembl.org/Triticum_aestivum/Transcript/Domains?db=core;g=TraesCS3B02G489300;r=3B:734791182-735191182;t=TraesCS3B02G489300.1	SKP1/BTB/POZ	may be involved in transcription regulation, protein ubiquitination?	.	.	3B:735130549-735130956
SNP	wheat 3B 735391182	gene/transcript	http://plants.ensembl.org/Triticum_aestivum/Transcript/Domains?db=core;g=TraesCS3B02G489200;r=3B:734791182-735191182;t=TraesCS3B02G489200.1	ERCC4, crossover junction endonuclease	DNA binding	may be involved in crossover process	.	3B:734969521-734994622
SNP	wheat 3B 735391182	gene/transcript	http://plants.ensembl.org/Triticum_aestivum/Transcript/Domains?db=core;g=TraesCS3B02G489100;r=3B:734791182-735191182;t=TraesCS3B02G489100.1	zinc finger, GRF-type	.	.	.	3B:734798547-734816220
SNP	wheat 3B 735391182	gene/transcript	http://plants.ensembl.org/Triticum_aestivum/Transcript/Domains?db=core;g=TraesCS3B02G489000;r=3B:734391182-734791182;t=TraesCS3B02G489000.1	heavy metal associated	metal ion transport	.	.	3B:734732611-734734426
SNP	wheat 3B 735391182	gene/transcript	http://plants.ensembl.org/Triticum_aestivum/Transcript/Domains?db=core;g=TraesCS3B02G488900;r=3B:734391182-734791182;t=TraesCS3B02G488900.1	rapid alkalinization factor RALF	involved in growth regulation, involved in opening calcium channels?	.	.	3B:734686335-734686682
SNP	wheat 3B 735391182	gene/transcript	http://plants.ensembl.org/Triticum_aestivum/Transcript/Domains?db=core;g=TraesCS3B02G488800;r=3B:734391182-734791182;t=TraesCS3B02G488800.1	plant defensin, gamma-thionin, knottin, scorpion toxin-like	involved in defense response	interesting?	.	3B:734598255-734598814
SNP	wheat 3B 735391182	gene/transcript	http://plants.ensembl.org/Triticum_aestivum/Transcript/Domains?db=core;g=TraesCS3B02G488700;r=3B:734391182-734791182;t=TraesCS3B02G488700.1	plant defensin, gamma-thionin, knottin, scorpion toxin-like	involved in defense response	interesting?	.	3B:734495271-734495894
SNP	wheat 3B 735391182	gene/transcript	http://plants.ensembl.org/Triticum_aestivum/Transcript/Domains?db=core;g=TraesCS3B02G488600;r=3B:734391182-734791182;t=TraesCS3B02G488600.1	no information	.	.	.	3B:734484971-734485581
SNP	wheat 3B 735391182	gene/transcript	http://plants.ensembl.org/Triticum_aestivum/Transcript/Domains?db=core;g=TraesCS3B02G488500;r=3B:734391182-734791182;t=TraesCS3B02G488500.1	3-oxoacyl-ACP-synthase III, polyketide synthase, very-long-chain 3-ketoacyl-CoA synthase	fatty acid elongation?	.	.	3B:734435304-734437072
SNP	wheat 3B 735391182	gene/transcript	http://plants.ensembl.org/Triticum_aestivum/Transcript/Domains?db=core;g=TraesCS3B02G488400;r=3B:734391182-734791182;t=TraesCS3B02G488400.2	SKP1/BTB/POZ	may be involved in transcription regulation, protein ubiquitination?	.	.	3B:734425467-734431144
SNP	wheat 3B 735391182	gene/transcript	http://plants.ensembl.org/Triticum_aestivum/Transcript/Domains?db=core;g=TraesCS3B02G488400;r=3B:734391182-734791182;t=TraesCS3B02G488400.1	SKP1/BTB/POZ	may be involved in transcription regulation, protein ubiquitination?	.	.	3B:734425467-734431144
SNP	wheat 3B 735391182	gene/transcript	http://plants.ensembl.org/Triticum_aestivum/Transcript/Domains?db=core;g=TraesCS3B02G489600;r=3B:735991182-736391182;t=TraesCS3B02G489600.1	no information	.	.	.	3B:736166736-736167910
SNP	wheat 3B 735391182	gene/transcript	http://plants.ensembl.org/Triticum_aestivum/Transcript/Domains?db=core;g=TraesCS3B02G489700;r=3B:735991182-736391182;t=TraesCS3B02G489700.1	laccase, cupredoxin, multicopper oxidase type 1	.	.	.	3B:736310552-736312833
SNP	wheat 3B 735391182	gene/transcript	http://plants.ensembl.org/Triticum_aestivum/Transcript/Domains?db=core;g=TraesCS3B02G489800;r=3B:735991182-736391182;t=TraesCS3B02G489800.1	laccase, cupredoxin, multicopper oxidase type 1	.	.	.	3B:736324650-736326945
SNP	wheat 3B 735391182	gene/transcript	http://plants.ensembl.org/Triticum_aestivum/Transcript/Domains?db=core;g=TraesCS3B02G489900;r=3B:736391182-736591182;t=TraesCS3B02G489900.1	no information	.	.	.	3B:736409956-736411100
