A	SNP_taxa_chr_pos	C	link	info_1	info_2	info_3	paper	gene_chr_pos
SNP	barley 7H 16784511	gene/transcript	http://plants.ensembl.org/Hordeum_vulgare/Transcript/Summary?db=otherfeatures;g=HORVU.MOREX.r3.7HG0643420;r=7H:16778291-16828245;t=HORVU.MOREX.r3.7HG0643420.1	no information	.	.	.	7H:16800041-16800475
SNP	barley 7H 16784511	gene/transcript	http://plants.ensembl.org/Hordeum_vulgare/Transcript/Summary?db=otherfeatures;g=HORVU.MOREX.r3.7HG0643380;r=7H:16778291-16828245;t=HORVU.MOREX.r3.7HG0643380.1	no information	.	.	.	7H:16780345-16780671
SNP	barley 7H 16784511	gene/transcript	http://plants.ensembl.org/Hordeum_vulgare/Transcript/Summary?db=otherfeatures;g=BART1_0-u49164;r=7H:16778291-16828245;t=BART1_0-u49164.path1	no information	.	.	.	7H:16788631-16793087
SNP	barley 7H 16784511	gene/transcript	http://plants.ensembl.org/Hordeum_vulgare/Transcript/Summary?db=otherfeatures;g=BART1_0-u49174;r=7H:16778291-16828245;t=BART1_0-u49174.path1	no information	.	.	.	7H:16819033-16819360
SNP	barley 7H 16784511	gene/transcript	http://plants.ensembl.org/Hordeum_vulgare/Transcript/Summary?db=otherfeatures;g=BART1_0-u49167;r=7H:16778291-16828245;t=BART1_0-u49167.path1	no information	.	.	.	7H:16778102-16781057
SNP	barley 7H 16784511	gene/transcript	http://plants.ensembl.org/Hordeum_vulgare/Transcript/Summary?db=otherfeatures;g=BART1_0-u49166;r=7H:16778291-16828245;t=BART1_0-u49166.path1	no information	.	.	.	7H:16782266-16783467
SNP	barley 7H 16784511	gene/transcript	http://plants.ensembl.org/Hordeum_vulgare/Transcript/Summary?db=otherfeatures;g=HORVU.MOREX.r3.7HG0643400;r=7H:16778291-16828245;t=HORVU.MOREX.r3.7HG0643400.1	no information	.	.	.	7H:16791148-16791471
SNP	barley 7H 16784511	gene/transcript	http://plants.ensembl.org/Hordeum_vulgare/Transcript/Summary?db=otherfeatures;g=BART1_0-u49177;r=7H:16778291-16828245;t=BART1_0-u49177.path1	no information	.	.	.	7H:16823998-16825022
SNP	barley 7H 16784511	gene/transcript	http://plants.ensembl.org/Hordeum_vulgare/Transcript/Summary?db=otherfeatures;g=BART1_0-u49178;r=7H:16778291-16828245;t=BART1_0-u49178.path1	no information	.	.	.	7H:16821962-16823824
SNP	barley 7H 16784511	gene/transcript	http://plants.ensembl.org/Hordeum_vulgare/Transcript/Summary?db=otherfeatures;g=BART1_0-u49175;r=7H:16778291-16828245;t=BART1_0-u49175.path1	no information	.	.	.	7H:16795993-16801082
SNP	barley 7H 16784511	gene/transcript	http://plants.ensembl.org/Hordeum_vulgare/Transcript/Summary?db=otherfeatures;g=BART1_0-u49163;r=7H:16778291-16828245;t=BART1_0-u49163.path1	no information	this gene contains significant SNP	.	.	7H:16784386-16787923
SNP	barley 7H 16784511	gene/transcript	http://plants.ensembl.org/Hordeum_vulgare/Gene/Summary?db=otherfeatures;g=HORVU.MOREX.r3.7HG0643390;r=7H:16778291-16828245;t=HORVU.MOREX.r3.7HG0643390.1	no information	.	.	.	7H:16789018-16789917
SNP	barley 7H 16784511	gene/transcript	http://plants.ensembl.org/Hordeum_vulgare/Gene/Summary?db=otherfeatures;g=BART1_0-u49173;r=7H:16778291-16828245;t=BART1_0-u49173.path1	no information	.	.	.	7H:16827252-16829364
SNP	barley 7H 16784511	gene/transcript	http://plants.ensembl.org/Hordeum_vulgare/Transcript/Summary?db=otherfeatures;g=HORVU.MOREX.r3.7HG0643410;r=7H:16778291-16828245;t=HORVU.MOREX.r3.7HG0643410.1	no information	.	.	.	7H:16791484-16792194
