A	SNP_taxa_chr_pos	C	link	info_1	info_2	info_3	paper	gene_chr_pos
SNP	barley 6H 6096552	gene/transcript	http://plants.ensembl.org/Hordeum_vulgare/Transcript/Domains?db=core;g=HORVU.MOREX.r3.6HG0539100;r=6H:2696552-3096552;t=HORVU.MOREX.r3.6HG0539100.1	no information	.	.	.	6H:2708547-2709041
SNP	barley 6H 6096552	gene/transcript	http://plants.ensembl.org/Hordeum_vulgare/Transcript/Domains?db=core;g=HORVU.MOREX.r3.6HG0539110;r=6H:2696552-3096552;t=HORVU.MOREX.r3.6HG0539110.1	DNA/RNA polymerase, endonuclease/exonuclease/phosphatase, reverse transcriptase	.	.	.	6H:2720358-2722241
SNP	barley 6H 6096552	gene/transcript	http://plants.ensembl.org/Hordeum_vulgare/Transcript/Domains?db=core;g=HORVU.MOREX.r3.6HG0539130;r=6H:2696552-3096552;t=HORVU.MOREX.r3.6HG0539130.1	EGF-like, protein kinase, wall-associated receptor kinase	.	.	.	6H:2741789-2746368
SNP	barley 6H 6096552	gene/transcript	http://plants.ensembl.org/Hordeum_vulgare/Transcript/Domains?db=core;g=HORVU.MOREX.r3.6HG0539140;r=6H:2696552-3096552;t=HORVU.MOREX.r3.6HG0539140.1	no information	.	.	.	6H:2754003-2754440
SNP	barley 6H 6096552	gene/transcript	http://plants.ensembl.org/Hordeum_vulgare/Transcript/Domains?db=core;g=HORVU.MOREX.r3.6HG0539150;r=6H:2696552-3096552;t=HORVU.MOREX.r3.6HG0539150.1	no information	.	.	.	6H:2761917-2762348
SNP	barley 6H 6096552	gene/transcript	http://plants.ensembl.org/Hordeum_vulgare/Transcript/Domains?db=core;g=HORVU.MOREX.r3.6HG0539170;r=6H:2696552-3096552;t=HORVU.MOREX.r3.6HG0539170.1	B3 DNA binding	DNA binding, transcription factor	.	.	6H:2882467-2883131
SNP	barley 6H 6096552	gene/transcript	http://plants.ensembl.org/Hordeum_vulgare/Transcript/Domains?db=core;g=HORVU.MOREX.r3.6HG0539050;r=6H:2296552-2696552;t=HORVU.MOREX.r3.6HG0539050.1	EGF-like, protein kinase, receptor-like kinase	.	.	.	6H:2661453-2663564
SNP	barley 6H 6096552	gene/transcript	http://plants.ensembl.org/Hordeum_vulgare/Transcript/Summary?db=core;g=HORVU.MOREX.r3.6HG0539060;r=6H:2296552-2696552;t=HORVU.MOREX.r3.6HG0539060.1	no information	.	.	.	6H:2665262-2665697
SNP	barley 6H 6096552	gene/transcript	http://plants.ensembl.org/Hordeum_vulgare/Transcript/Domains?db=core;g=HORVU.MOREX.r3.6HG0539010;r=6H:2296552-2696552;t=HORVU.MOREX.r3.6HG0539010.1	cathepsin propeptide inhibitor I29, peptidase C1A, papain	.	.	.	6H:2641998-2643321
SNP	barley 6H 6096552	gene/transcript	http://plants.ensembl.org/Hordeum_vulgare/Transcript/Domains?db=core;g=HORVU.MOREX.r3.6HG0539080;r=6H:2296552-2696552;t=HORVU.MOREX.r3.6HG0539080.1	3'-5' exonuclease, ribonuclease H	involved in DNA repair, removes bases in single-basepair errors?	.	.	6H:2678054-2679470
SNP	barley 6H 6096552	gene/transcript	http://plants.ensembl.org/Hordeum_vulgare/Transcript/Domains?db=core;g=HORVU.MOREX.r3.6HG0539020;r=6H:2296552-2696552;t=HORVU.MOREX.r3.6HG0539020.1	no information	.	.	.	6H:2647258-2647695
SNP	barley 6H 6096552	gene/transcript	http://plants.ensembl.org/Hordeum_vulgare/Transcript/Domains?db=core;g=HORVU.MOREX.r3.6HG0539000;r=6H:2296552-2696552;t=HORVU.MOREX.r3.6HG0539000.1	transposase-like protein DAYSLEEPER, hAT, ribonuclease H-like	.	.	.	6H:2600194-2600938
