A	SNP_taxa_chr_pos	C	link	info_1	info_2	info_3	paper	gene_chr_pos
SNP	wheat 4A 711332059	gene/transcript	http://plants.ensembl.org/Triticum_aestivum/Transcript/Domains?db=core;g=TraesCS4A02G445000;r=4A:713064971-713454854;t=TraesCS4A02G445000.3	isoamyl acetate-hydrolyzing esterase lah1-like, SGNH-hydrolase	.	.	.	4A:713114838-713118412
SNP	wheat 4A 711332059	gene/transcript	http://plants.ensembl.org/Triticum_aestivum/Transcript/Domains?db=core;g=TraesCS4A02G445000;r=4A:713064971-713454854;t=TraesCS4A02G445000.2	isoamyl acetate-hydrolyzing esterase lah1-like, SGNH-hydrolase	.	.	.	4A:713114838-713118412
SNP	wheat 4A 711332059	gene/transcript	http://plants.ensembl.org/Triticum_aestivum/Transcript/Domains?db=core;g=TraesCS4A02G445000;r=4A:713064971-713454854;t=TraesCS4A02G445000.1	isoamyl acetate-hydrolyzing esterase lah1-like, SGNH-hydrolase	.	.	.	4A:713114838-713118076
SNP	wheat 4A 711332059	gene/transcript	http://plants.ensembl.org/Triticum_aestivum/Transcript/Domains?db=core;g=TraesCS4A02G445000;r=4A:713064971-713454854;t=TraesCS4A02G445000.4	isoamyl acetate-hydrolyzing esterase lah1-like, SGNH-hydrolase	.	.	.	4A:713114838-713118010
SNP	wheat 4A 711332059	gene/transcript	http://plants.ensembl.org/Triticum_aestivum/Transcript/Domains?db=core;g=TraesCS4A02G445000;r=4A:713064971-713454854;t=TraesCS4A02G445000.5	isoamyl acetate-hydrolyzing esterase lah1-like, SGNH-hydrolase	.	.	.	4A:713115744-713118010
SNP	wheat 4A 711332059	gene/transcript	http://plants.ensembl.org/Triticum_aestivum/Transcript/Domains?db=core;g=TraesCS4A02G445100;r=4A:713064971-713454854;t=TraesCS4A02G445100.1	late embryogenesis abundant protein At5g17165-like	.	.	.	4A:713119928-713121020
SNP	wheat 4A 711332059	gene/transcript	http://plants.ensembl.org/Triticum_aestivum/Transcript/Domains?db=core;g=TraesCS4A02G445200;r=4A:713064971-713454854;t=TraesCS4A02G445200.1	no information	.	.	.	4A:713186975-713188575
SNP	wheat 4A 711332059	gene/transcript	http://plants.ensembl.org/Triticum_aestivum/Transcript/Domains?db=core;g=TraesCS4A02G445300;r=4A:713064971-713454854;t=TraesCS4A02G445300.1	protein of unknown function DUF1138	.	.	.	4A:713351688-713353828
SNP	wheat 4A 711332059	gene/transcript	http://plants.ensembl.org/Triticum_aestivum/Transcript/Domains?db=core;g=TraesCS4A02G445500;r=4A:713464971-713854854;t=TraesCS4A02G445500.1	leucine-rich repeat, tyrosine-protein kinase	.	.	.	4A:713502645-713506444
SNP	wheat 4A 711332059	gene/transcript	http://plants.ensembl.org/Triticum_aestivum/Transcript/Domains?db=core;g=TraesCS4A02G445600;r=4A:713464971-713854854;t=TraesCS4A02G445600.1	cytochrome P450	.	.	.	4A:713516952-713523584
SNP	wheat 4A 711332059	gene/transcript	http://plants.ensembl.org/Triticum_aestivum/Transcript/Domains?db=core;g=TraesCS4A02G445600;r=4A:713464971-713854854;t=TraesCS4A02G445600.2	cytochrome P450	.	.	.	4A:713517057-713523584
SNP	wheat 4A 711332059	gene/transcript	http://plants.ensembl.org/Triticum_aestivum/Transcript/Domains?db=core;g=TraesCS4A02G445700;r=4A:713464971-713854854;t=TraesCS4A02G445700.1	UDP-glucuronosyl/UDP-glucosyltransferase	.	.	.	4A:713604398-713606112
SNP	wheat 4A 711332059	gene/transcript	http://plants.ensembl.org/Triticum_aestivum/Transcript/Domains?db=core;g=TraesCS4A02G445800;r=4A:713464971-713854854;t=TraesCS4A02G445800.1	late embryogenesis abundant protein, LEA_1	.	.	.	4A:713630160-713630821
SNP	wheat 4A 711332059	gene/transcript	http://plants.ensembl.org/Triticum_aestivum/Transcript/Domains?db=core;g=TraesCS4A02G445900;r=4A:713464971-713854854;t=TraesCS4A02G445900.1	S-adenosy-L-methionine-dependent methyltransferase, SAM dependent carboxyl methyltransferase	.	.	.	4A:713728638-713730201
SNP	wheat 4A 711332059	gene/transcript	http://plants.ensembl.org/Triticum_aestivum/Transcript/Domains?db=core;g=TraesCS4A02G446100;r=4A:713464971-713854854;t=TraesCS4A02G446100.1	late embryogenesis abundant protein At5g17165-like	.	.	.	4A:713829853-713830840
SNP	wheat 4A 711332059	gene/transcript	http://plants.ensembl.org/Triticum_aestivum/Transcript/Domains?db=core;g=TraesCS4A02G446200;r=4A:713464971-713854854;t=TraesCS4A02G446200.1	F-box	.	.	.	4A:713833663-713834773
